t,variance
0,0
0.010101,0.010086
0.020202,0.0196803
0.030303,0.0307606
0.040404,0.0411879
0.0505051,0.0514593
0.0606061,0.0613545
0.0707071,0.0713449
0.0808081,0.0822002
0.0909091,0.0918576
0.10101,0.102873
0.111111,0.114618
0.121212,0.125215
0.131313,0.137001
0.141414,0.14727
0.151515,0.159907
0.161616,0.171121
0.171717,0.18212
0.181818,0.193138
0.191919,0.206381
0.20202,0.219619
0.212121,0.229739
0.222222,0.243186
0.232323,0.25665
0.242424,0.266328
0.252525,0.277378
0.262626,0.292885
0.272727,0.30609
0.282828,0.318306
0.292929,0.327148
0.30303,0.340067
0.313131,0.351201
0.323232,0.365813
0.333333,0.382787
0.343434,0.39953
0.353535,0.411634
0.363636,0.427926
0.373737,0.434382
0.383838,0.449762
0.393939,0.461168
0.40404,0.475202
0.414141,0.49364
0.424242,0.50629
0.434343,0.521628
0.444444,0.533585
0.454545,0.550547
0.464646,0.580489
0.474747,0.589547
0.484848,0.613106
0.494949,0.630869
0.505051,0.648704
0.515152,0.668925
0.525253,0.688139
0.535354,0.699144
0.545455,0.707519
0.555556,0.722777
0.565657,0.732813
0.575758,0.744086
0.585859,0.774722
0.59596,0.790277
0.606061,0.814708
0.616162,0.838641
0.626263,0.852065
0.636364,0.877991
0.646465,0.894291
0.656566,0.922774
0.666667,0.925064
0.676768,0.92916
0.686869,0.932961
0.69697,0.947237
0.707071,0.963604
0.717172,0.971589
0.727273,0.987897
0.737374,1.02866
0.747475,1.05775
0.757576,1.09294
0.767677,1.09642
0.777778,1.10896
0.787879,1.12571
0.79798,1.16379
0.808081,1.17895
0.818182,1.19321
0.828283,1.16971
0.838384,1.19379
0.848485,1.21191
0.858586,1.23807
0.868687,1.24207
0.878788,1.27291
0.888889,1.2722
0.89899,1.29557
0.909091,1.35609
0.919192,1.40947
0.929293,1.45045
0.939394,1.47209
0.949495,1.49896
0.959596,1.54914
0.969697,1.60959
0.979798,1.66404
0.989899,1.69608
1,1.7271
